Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,DistancePMJ,Label,Size [vox],MAP(),STD()
"2024-05-13 22:44:20","6.0","/Users/FMUHAMMA/Desktop/Mri/sc_analysis_mtr_May/data_processed/sub-HC003U/ses-spinalcord/anat/MTS/mtr.nii.gz","10:11","5","","dorsal columns",48.8205382317661,44.047179760547536,7.0477704915501524
"2024-05-13 22:46:21","6.0","/Users/FMUHAMMA/Desktop/Mri/sc_analysis_mtr_May/data_processed/sub-HC003U/ses-spinalcord/anat/MTS/mtr.nii.gz","7:9","6","","dorsal columns",60.15678877391335,44.256702038753765,5.273664226594335
