Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,DistancePMJ,Label,Size [vox],MAP(),STD()
"2024-07-06 16:39:34","6.0","/Users/FMUHAMMA/Desktop/Mri/sc_analysis_T2s_2024-07-06-all/data_processed/sub-CSM002U/ses-spinalcord/anat/T2star/sub-CSM002U_ses-spinalcord_T2star_wmseg.nii.gz","","7","","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.0,"",""
"2024-07-08 14:15:39","6.0","/Users/FMUHAMMA/Desktop/Mri/sc_analysis_T2s_all/data_processed/sub-CSM002U/ses-spinalcord/anat/T2star/sub-CSM002U_ses-spinalcord_T2star_wmseg.nii.gz","","7","","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29",0.0,"",""
